🕘️更新时间,#genre#
2026-04-22 19:33:40,http://hy.tzk.cc.cd/?id=17091681

🎵音乐频道,#genre#
音乐小石榴,http://hy.tzk.cc.cd/?id=17091681
音乐小石榴,https://live.ottiptv.cc/huya/17091681
音乐小石榴,http://shorturl.jxpan.vip:880/r/baoshi_aio/huya/17091681
音乐小石榴,http://live.chinacert.cftest5.cn/huya/17091681
秋月剪水,https://douyu.tzk.cc.cd/?id=9588891
秋月剪水,http://live.nctv.top/douyu1.php?id=9588891
秋月剪水,http://iptv77.iptv66.eu.org:35455/douyu/9588891
喵喵音乐台,https://douyu.tzk.cc.cd/?id=9568091
喵喵音乐台,http://live.nctv.top/douyu1.php?id=9568091
喵喵音乐台,http://iptv77.iptv66.eu.org:35455/douyu/9568091
阿7点歌台,https://douyu.tzk.cc.cd/?id=3186217
阿7点歌台,http://live.nctv.top/douyu1.php?id=3186217
阿7点歌台,http://iptv77.iptv66.eu.org:35455/douyu/3186217
音悦喵点歌台,https://douyu.tzk.cc.cd/?id=3870925
音悦喵点歌台,http://live.nctv.top/douyu1.php?id=3870925
音悦喵点歌台,http://iptv77.iptv66.eu.org:35455/douyu/3870925
下饭音乐,https://douyu.tzk.cc.cd/?id=8661966
下饭音乐,http://live.nctv.top/douyu1.php?id=8661966
下饭音乐,http://iptv77.iptv66.eu.org:35455/douyu/8661966
音乐台长,https://douyu.tzk.cc.cd/?id=9629943
音乐台长,http://live.nctv.top/douyu1.php?id=9629943
音乐台长,http://iptv77.iptv66.eu.org:35455/douyu/9629943
音乐Wu哥,https://douyu.tzk.cc.cd/?id=8667755
音乐Wu哥,http://live.nctv.top/douyu1.php?id=8667755
音乐Wu哥,http://iptv77.iptv66.eu.org:35455/douyu/8667755
音乐快斗,https://douyu.tzk.cc.cd/?id=8324627
音乐快斗,http://live.nctv.top/douyu1.php?id=8324627
音乐快斗,http://iptv77.iptv66.eu.org:35455/douyu/8324627
音乐猛抬头,https://douyu.tzk.cc.cd/?id=8666105
音乐猛抬头,http://live.nctv.top/douyu1.php?id=8666105
音乐猛抬头,http://iptv77.iptv66.eu.org:35455/douyu/8666105
黑糖音乐秀,https://douyu.tzk.cc.cd/?id=9560563
黑糖音乐秀,http://live.nctv.top/douyu1.php?id=9560563
黑糖音乐秀,http://iptv77.iptv66.eu.org:35455/douyu/9560563
荒草音乐,https://douyu.tzk.cc.cd/?id=8706465
荒草音乐,http://live.nctv.top/douyu1.php?id=8706465
荒草音乐,http://iptv77.iptv66.eu.org:35455/douyu/8706465
音乐Fans小琼,https://douyu.tzk.cc.cd/?id=8666210
音乐Fans小琼,http://live.nctv.top/douyu1.php?id=8666210
音乐Fans小琼,http://iptv77.iptv66.eu.org:35455/douyu/8666210
小飞飞音乐,https://douyu.tzk.cc.cd/?id=10469362
小飞飞音乐,http://live.nctv.top/douyu1.php?id=10469362
小飞飞音乐,http://iptv77.iptv66.eu.org:35455/douyu/10469362
热星音乐菌,https://douyu.tzk.cc.cd/?id=8405922
热星音乐菌,http://live.nctv.top/douyu1.php?id=8405922
热星音乐菌,http://iptv77.iptv66.eu.org:35455/douyu/8405922
蚕豆电台,https://douyu.tzk.cc.cd/?id=8768792
蚕豆电台,http://live.nctv.top/douyu1.php?id=8768792
蚕豆电台,http://iptv77.iptv66.eu.org:35455/douyu/8768792
音乐现场,http://wan1.tangwudi.cc:47859/udp/239.94.1.36:5140
戏曲精选,http://wan1.tangwudi.cc:47859/udp/239.94.1.37:5140
热门综艺,http://wan1.tangwudi.cc:47859/udp/239.94.1.35:5140
刘德华今日演唱会1-3,https://sns-video-default.xhscdn.com/stream/1/110/258/01e8d5752d2b128a010370019981d8805d_258.mp4
刘德华今日演唱会2-3,https://sns-video-default.xhscdn.com/stream/79/110/258/01e8d575b81a468c4f0370019981d7590e_258.mp4
刘德华今日演唱会3-3,https://sns-video-default.xhscdn.com/stream/79/110/258/01e8d576391a55d74f0370019981d9b2f3_258.mp4
湾区升明月2025大湾区电影音乐晚会,https://vip.dytt-kan.com/20251002/7177_2723ad49/index.m3u8
张学友演唱会,https://alimov2.a.kwimgs.com/upic/2020/05/11/04/BMjAyMDA1MTEwNDE3NTRfMTA4ODgyMjg1OF8yODM1OTM2NTkxMl8yXzM=_b_Bf2cbd177f1349dcfc12d89443cf374af.mp4
S H E《2014 世界巡回演唱会 台北站 完整版》,https://vd2.bdstatic.com/mda-nmtebs1e731y7hfu/576p/h264/1672223127459067725/mda-nmtebs1e731y7hfu.mp4
S H E《2018 十七周年台北演唱会 完整版》,https://vd2.bdstatic.com/mda-nmtfbgevwx16brb0/576p/h264/1672224992649095576/mda-nmtfbgevwx16brb0.mp4
S H E《4EVER世界巡回演唱会 完整版》珍藏版,https://vd3.bdstatic.com/mda-nmkefmyd0arci215/576p/h264/1671618057578437373/mda-nmkefmyd0arci215.mp4
刘若英合集,https://vd4.bdstatic.com/mda-paj1zjmiy8f0u7e9/sc/cae_h264/1674182802321283228/mda-paj1zjmiy8f0u7e9.mp4
云菲菲40首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5207287179922382380_hlsb.m3u8
孟庭苇,https://vd4.bdstatic.com/mda-pah0g785da3bd8cg/hd/cae_h264/1674003403215729852/mda-pah0g785da3bd8cg.mp4

📡辽宁频道,#genre#
辽宁卫视,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227242/index.m3u8
辽宁卫视,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226767/index.m3u8
辽宁卫视,http://39.134.52.214/wh7f454c46tw2823885991_-119633851/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226767/index.m3u8?icpid=11&RTS=1668095107&from=26&ocs=2_39.134.52.177_80&hms_devid=1124&online=1668095107&vqe=3
辽宁卫视,http://39.134.52.214/wh7f454c46tw3539710292_1551189731/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227242/index.m3u8?icpid=11&RTS=1668091528&from=26&ocs=2_39.134.52.211_80&hms_devid=1124&online=1668091528&vqe=3
辽宁卫视,http://39.134.52.215/PLTV/88888888/224/3221226859/index.m3u8
辽宁卫视,http://fn.gcl.de5.net:5908/gsh950428/630291707
辽宁卫视,http://lihetl.com:9527/rtp/232.0.0.144:9108
辽宁卫视,http://fb4wd00001.f3322.net:1111/rtp/232.0.0.126:1234
辽宁卫视,http://k.061899.xyz/m.php?id=lnws
辽宁都市,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnds
辽宁都市,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226760/index.m3u8
辽宁都市,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227355/index.m3u8
辽宁都市,http://39.134.52.215/wh7f454c46tw2859029511_326353944/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226760/index.m3u8?icpid=11&RTS=1668095142&from=26&ocs=2_39.134.52.168_80&hms_devid=1124&online=1668095142&vqe=3
辽宁都市,http://39.134.52.214/wh7f454c46tw3539710292_1551189731/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227355/index.m3u8?icpid=11&RTS=1668091528&from=26&ocs=2_39.134.52.211_80&hms_devid=1124&online=1668091528&vqe=3
辽宁都市,http://39.134.52.215/PLTV/88888888/224/3221226914/index.m3u8
辽宁都市,http://39.134.52.215/PLTV/88888888/224/3221226524/index.m3u8
辽宁都市,http://lihetl.com:9527/rtp/232.0.0.42:8856
辽宁都市,http://fb4wd00001.f3322.net:1111/rtp/232.0.0.154:1234
辽宁体育休闲,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnty
辽宁体育休闲,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226764/index.m3u8
辽宁体育休闲,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227334/index.m3u8
辽宁体育休闲,http://39.134.52.215/wh7f454c46tw2910261337_-41723830/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226764/index.m3u8?icpid=11&RTS=1668095193&from=26&ocs=2_39.134.52.174_80&hms_devid=1124&online=1668095193&vqe=3
辽宁体育休闲,http://39.134.52.214/wh7f454c46tw3539710292_1551189731/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227334/index.m3u8?icpid=11&RTS=1668091528&from=26&ocs=2_39.134.52.211_80&hms_devid=1124&online=1668091528&vqe=3
辽宁体育休闲,http://39.134.52.215/PLTV/88888888/224/3221226916/index.m3u8
辽宁体育休闲,http://39.134.52.215/PLTV/88888888/224/3221226508/index.m3u8
辽宁体育休闲,http://lihetl.com:9527/rtp/232.0.0.66:8820
辽宁体育休闲,http://fb4wd00001.f3322.net:1111/rtp/232.0.0.164:1234
辽宁影视剧,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnys
辽宁影视剧,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226738/index.m3u8
辽宁影视剧,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227331/index.m3u8
辽宁影视剧,http://39.134.52.214/wh7f454c46tw2883070118_1158756278/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226738/index.m3u8?icpid=11&RTS=1668095166&from=26&ocs=2_39.134.52.181_80&hms_devid=1124&online=1668095166&vqe=3
辽宁影视剧,http://39.134.52.214/wh7f454c46tw3539710292_1551189731/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227331/index.m3u8?icpid=11&RTS=1668091528&from=26&ocs=2_39.134.52.211_80&hms_devid=1124&online=1668091528&vqe=3
辽宁影视剧,http://39.134.52.215/PLTV/88888888/224/3221226861/index.m3u8
辽宁影视剧,http://39.134.52.215/PLTV/88888888/224/3221226512/index.m3u8
辽宁影视剧,http://fn.gcl.de5.net:5908/gsh950428/962067517
辽宁影视剧,http://lihetl.com:9527/rtp/232.0.0.97:8534
辽宁影视剧,http://fb4wd00001.f3322.net:1111/rtp/232.0.0.25:1234
辽宁经济,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227322/index.m3u8
辽宁经济,http://39.134.52.214/wh7f454c46tw3539710292_1551189731/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227322/index.m3u8?icpid=11&RTS=1668091528&from=26&ocs=2_39.134.52.211_80&hms_devid=1124&online=1668091528&vqe=3
辽宁经济,http://39.134.52.215/PLTV/88888888/224/3221226869/index.m3u8
辽宁经济,http://lihetl.com:9527/rtp/232.0.0.155:9320
辽宁经济,http://fb4wd00001.f3322.net:1111/rtp/232.0.0.156:1234
辽宁公共,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227224/index.m3u8
辽宁公共,http://39.134.52.214/wh7f454c46tw3539710292_1551189731/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227224/index.m3u8?icpid=11&RTS=1668091528&from=26&ocs=2_39.134.52.211_80&hms_devid=1124&online=1668091528&vqe=3
辽宁公共,http://fn.gcl.de5.net:5908/gsh950428/962045223
辽宁公共,http://lihetl.com:9527/rtp/232.0.0.156:9322
辽宁公共,http://fb4wd00001.f3322.net:1111/rtp/232.0.0.168:1234
辽宁移动电视,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227328/index.m3u8
辽宁移动电视,http://39.134.52.214/wh7f454c46tw3539710292_1551189731/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227328/index.m3u8?icpid=11&RTS=1668091528&from=26&ocs=2_39.134.52.211_80&hms_devid=1124&online=1668091528&vqe=3
辽宁移动电视,http://39.134.52.215/PLTV/88888888/224/3221226867/index.m3u8
辽宁移动电视,http://lihetl.com:9527/rtp/232.0.0.167:9338
辽宁移动电视,http://fb4wd00001.f3322.net:1111/rtp/232.0.0.165:1234
辽宁北方,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnbf
辽宁北方,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227327/index.m3u8
辽宁北方,http://39.134.52.214/wh7f454c46tw3539710292_1551189731/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227327/index.m3u8?icpid=11&RTS=1668091528&from=26&ocs=2_39.134.52.211_80&hms_devid=1124&online=1668091528&vqe=3
辽宁北方,http://39.134.52.215/PLTV/88888888/224/3221226865/index.m3u8
辽宁北方,http://lihetl.com:9527/rtp/232.0.0.211:9240
辽宁北方,http://fb4wd00001.f3322.net:1111/rtp/232.0.0.151:1234
辽宁生活,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnsh
辽宁生活,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227319/index.m3u8
辽宁生活,http://39.134.52.214/wh7f454c46tw3539710292_1551189731/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227319/index.m3u8?icpid=11&RTS=1668091528&from=26&ocs=2_39.134.52.211_80&hms_devid=1124&online=1668091528&vqe=3
辽宁生活,http://39.134.52.215/PLTV/88888888/224/3221226918/index.m3u8
辽宁生活,http://fn.gcl.de5.net:5908/gsh950428/962045226
辽宁生活,http://lihetl.com:9527/rtp/232.0.0.212:9242
辽宁生活,http://fb4wd00001.f3322.net:1111/rtp/232.0.0.150:1234
辽宁教育青少,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227297/index.m3u8
辽宁教育青少,http://39.134.52.214/wh7f454c46tw3539710292_1551189731/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227297/index.m3u8?icpid=11&RTS=1668091528&from=26&ocs=2_39.134.52.211_80&hms_devid=1124&online=1668091528&vqe=3
辽宁教育青少,http://39.134.52.215/PLTV/88888888/224/3221226863/index.m3u8
辽宁教育青少,http://lihetl.com:9527/rtp/232.0.0.230:9356
辽宁教育青少,http://fb4wd00001.f3322.net:1111/rtp/232.0.0.241:1234
辽宁丹东新闻,http://1866360232.cloudvdn.com/a.m3u8?domain=pili-live-hdl-zhdd-tv.ddrtv.cn&player=1&streamid=zhdd-tv%3Azhdd-tv%2Fddnews&v3=1
辽宁丹东新闻,http://lihetl.com:9527/rtp/232.0.0.251:9162
辽宁丹东生活,http://lihetl.com:9527/rtp/232.0.0.252:9164
辽宁铁岭新闻,http://lihetl.com:9527/rtp/232.0.0.240:9280
辽宁铁岭生活,http://lihetl.com:9527/rtp/232.0.0.241:9282
辽宁朝阳新闻,http://lihetl.com:9527/rtp/232.0.0.243:9126
辽宁朝阳教育,http://lihetl.com:9527/rtp/232.0.0.244:9128
辽宁本溪综合,http://lihetl.com:9527/rtp/232.0.0.157:9324
辽宁本溪法治,http://lihetl.com:9527/rtp/232.0.0.158:9326
辽宁辽阳新闻,http://lihetl.com:9527/rtp/232.0.0.249:9140
辽宁辽阳生活,http://lihetl.com:9527/rtp/232.0.0.250:9000
辽宁阜新教育,http://lihetl.com:9527/rtp/232.0.0.248:9138
辽宁阜新综合,http://lihetl.com:9527/rtp/232.0.0.246:9134
辽宁阜新新闻综合,http://lihetl.com:9527/rtp/232.0.0.249:9140
辽宁阜新社会生活,http://lihetl.com:9527/rtp/232.0.0.250:9000
辽宁葫岛生活服务,http://lihetl.com:9527/rtp/232.0.0.239:9262
辽宁葫岛新闻综合,http://lihetl.com:9527/rtp/232.0.0.238:9260
